run_id,scenario_name,round_number,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence
veyru/1777920823,veyru,1,,,,2.3653101616505143,2.437206247798109,0.7380816714150047,,1.0,146.0,,26.0,4.653846153846154,4.1420606945281895,,5.220855712890625,,,,,1.0,,
veyru/1777920823,veyru,2,,,,2.833306363824144,2.9742784151257093,0.897196261682243,1.0,,107.0,,16.0,5.75,4.467424035285549,,5.886452674865723,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,3,,,,2.8518753079081836,2.8720069344835784,0.9674531212617887,1.0,1.0,69.85714285714286,,11.714285714285714,5.048780487804878,3.9756125433573217,,6.345398085457938,,,,,1.0,,
veyru/1777920823,veyru,4,,,,2.8699344907566195,2.875431553427433,1.0197354727722012,1.0,1.0,53.6,,8.333333333333334,5.552,3.930999760809665,,6.843952592213949,,,,,0.0,1.0,
veyru/1777920823,veyru,5,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,6,,,,2.9783448160534625,3.1594176050131217,0.927710843373494,1.0,1.0,83.0,,13.0,5.461538461538462,4.343202576510352,,6.4060211181640625,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,7,,,,5.711100908025614,3.7977929971360647,0.96875,1.0,1.0,32.0,,3.0,10.0,3.85845859334435,,4.611973762512207,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,8,,,,4.6707979127245105,3.7769515953387787,1.2857142857142858,1.0,1.0,7.0,,1.0,7.0,2.8073549220576037,,6.882824897766113,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,9,,,,4.713614237343564,3.721267583688721,1.2857142857142858,1.0,,7.0,,1.0,7.0,2.8073549220576037,,6.9218645095825195,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,10,,,,5.600458921055148,4.538495030086949,1.3333333333333333,1.0,,6.0,,1.0,6.0,2.584962500721156,,7.147885322570801,,,1.0,,0.0,1.0,
veyru/1777920823,veyru,11,,,,3.121028811232305,3.2285500829326055,0.9642857142857143,,1.0,56.0,,9.0,5.333333333333333,4.297902689682947,,6.565593242645264,,,1.0,,0.0,,
veyru/1777920823,veyru,12,,,,4.76841943131835,3.7722823154821215,1.6666666666666667,1.0,,3.0,,1.0,3.0,1.584962500721156,,8.723888397216797,1.0,,1.0,,0.0,1.0,
veyru/1777920823,veyru,13,,,,5.546388534278271,2.1155887050511932,1.6666666666666667,1.0,,3.0,,1.0,3.0,1.584962500721156,,8.327596664428711,1.0,,1.0,,0.0,1.0,
veyru/1777920823,veyru,14,,,,3.9781010536695764,2.2517683936612363,1.6666666666666667,1.0,,3.0,,1.0,3.0,1.584962500721156,,6.190441131591797,1.0,,,1.0,0.0,1.0,
veyru/1777920823,veyru,15,,,,5.546388534278271,2.1155887050511932,1.6666666666666667,1.0,,3.0,,1.0,3.0,1.584962500721156,,8.327596664428711,,,,1.0,0.0,1.0,
veyru/1780571879,veyru,1,,,,2.3777845011158925,2.3606171682121513,0.8431616511185254,,,116.57142857142857,,,,4.067023442855913,,5.168509823935373,1.0,,,,0.0,,
veyru/1780571879,veyru,2,,,,2.3769027441752413,2.3655281174844585,0.8169417685707971,,,123.375,,,,4.048561102315954,,4.87935334444046,1.0,,,,0.0,,
veyru/1780571879,veyru,3,,,,2.4177076740625805,2.4783289540137914,0.8177562698470773,,,132.33333333333334,,,,4.186573468042228,,5.110995292663574,1.0,,,,1.0,,
