run_id,scenario_name,agent_model.field_observer,agent_model.stabilization_engineer,agent_provider.field_observer,agent_provider.stabilization_engineer,agent_role.field_observer,agent_role.stabilization_engineer,current_round,derivation_type,duration_seconds,has_evaluation,has_note,knob.agent_max_tokens,knob.announce_swap,knob.channel_noise_level,knob.easy_round_numbers,knob.intern_enabled,knob.intern_join_round,knob.intern_takeover_round,knob.judge_model,knob.judge_provider,knob.max_round_duration_seconds,knob.model_overrides,knob.model_overrides.field_observer.model,knob.model_overrides.field_observer.provider,knob.model_overrides.stabilization_engineer.model,knob.model_overrides.stabilization_engineer.provider,knob.postmortem_after_swap,knob.postmortem_disabled_at_start,knob.postmortem_duration_seconds,knob.postmortem_enabled,knob.replace_agent_default_channel_visibility.postmortem,knob.replace_agent_default_channel_visibility.postmortem_a,knob.replace_agent_default_channel_visibility.postmortem_b,knob.round_count,knob.round_time_budget_seconds,knob.scheduled_events,knob.seed,knob.swap_round,knob.two_teams,label_flag.baseline_oss,labels,model_class,models,provider,run_dir,run_dir_name,status,timestamp,total_cost_usd,total_messages,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence,metric_rounds.communication_feature_presence,metric_rounds.communication_open_coding,metric_rounds.content_filter_refusal,metric_rounds.english_ngram_backoff_surprisal,metric_rounds.english_ngram_surprisal,metric_rounds.gzip_compression_ratio,metric_rounds.language_emergence,metric_rounds.language_strangeness,metric_rounds.mean_chars_per_message,metric_rounds.mean_chars_per_round,metric_rounds.mean_message_length,metric_rounds.mean_word_length,metric_rounds.message_entropy,metric_rounds.neologism,metric_rounds.perplexity,metric_rounds.postmortem_ended_timeout,metric_rounds.protocol_probe,metric_rounds.round_ended_idle,metric_rounds.round_ended_timeout,metric_rounds.round_success,metric_rounds.shorthand_codes,metric_rounds.slang_emergence
veyru/1781083399,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2378.331764,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,False,False,240.0,False,False,False,False,15,800,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781083399,1781083399,scenario_complete,2026-06-10T09:23:19+00:00,0.0,101,7.0,9.0,0.0,2.3275116198542873,2.3198812501885535,0.8269582217969246,,0.0,122.81188118811882,826.9333333333333,,,4.173247745712723,0.0,4.6785826801622985,,,2.0,0.0,0.0,0.0,4.0,0,0,0,15,15,15,,0,15,15,,,15,0,15,,,2,0,15,0,4
veyru/1781083400,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,1684.955342,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,250,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781083400,1781083400,scenario_complete,2026-06-10T09:23:20+00:00,0.0,87,5.0,7.0,0.0,2.3432546929688325,2.361371945112265,0.7450620329563651,,0.0,165.14285714285714,308.26666666666665,,,4.176090009902824,0.0,4.8298248238033725,4.0,,0.0,0.0,0.0,0.0,1.0,0,0,0,15,15,15,,0,15,15,,,15,0,15,4,,0,0,15,0,1
veyru/1781084463,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,4650.833182,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,2000,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781084463,1781084463,scenario_complete,2026-06-10T09:41:03+00:00,0.0,207,3.0,11.0,0.0,2.3389832575895944,2.347254286485919,0.7751487975104551,,1.0,145.07476635514018,1034.8666666666666,,,4.119765563571355,0.0,4.856228737412536,14.0,0.0,3.0,2.0,0.6666666666666666,0.0,0.0,0,0,0,15,15,15,,1,15,15,,,15,0,15,14,0,3,2,15,0,0
veyru/1781085124,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,816.47645,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,False,False,120.0,False,False,False,False,15,250,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781085124,1781085124,scenario_complete,2026-06-10T09:52:04+00:00,0.0,36,0.0,7.0,0.0,2.3238408803033854,2.331364677947486,0.7746347510428786,,0.0,133.86111111111111,321.26666666666665,,,4.108650866138197,0.0,4.807118320465088,,,0.0,0.0,0.0,0.0,0.0,0,0,0,15,15,15,,0,15,15,,,15,0,15,,,0,0,15,0,0
veyru/1781085906,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,1128.137133,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,False,False,240.0,False,False,False,False,15,450,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781085906,1781085906,scenario_complete,2026-06-10T10:05:06+00:00,0.0,52,11.0,9.0,0.0,2.530766284426932,2.6419244376726585,0.881533124428559,,1.0,102.42307692307692,355.06666666666666,,,4.154350049793835,0.0,5.760595617294312,,,6.0,0.0,0.0,5.0,5.0,0,0,0,15,15,15,,1,15,15,,,15,0,15,,,6,0,15,5,5
veyru/1781086390,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2349.215348,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,150,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781086390,1781086390,scenario_complete,2026-06-10T10:13:10+00:00,0.0,94,16.0,7.0,0.0,2.3865382973613523,2.445260382647668,0.7736787706436771,,3.0,133.53333333333333,267.06666666666666,,,4.148234970441286,0.0,4.77487572564019,11.0,,0.0,0.0,0.0,5.0,0.0,0,0,0,15,15,15,,3,15,15,,,15,0,15,11,,0,0,15,5,0
veyru/1781086773,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,3145.680004,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,450,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781086773,1781086773,scenario_complete,2026-06-10T10:19:33+00:00,0.0,127,8.0,8.0,0.0,2.29108594179546,2.314815923432604,0.7517810541644779,,1.0,151.11111111111111,544.0,,,4.148944612002579,0.0,4.821152497927348,14.0,,0.0,0.0,0.06666666666666667,0.0,0.0,0,0,0,15,15,15,,1,15,15,,,15,0,15,14,,0,0,15,0,0
veyru/1781088778,veyru,Qwen/Qwen3-32B,Qwen/Qwen3-32B,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2519.169648,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,600.0,,Qwen/Qwen3-32B,self-hosted,Qwen/Qwen3-32B,self-hosted,False,False,240.0,False,False,False,False,15,250,[],42,,False,True,baseline_oss,open,Qwen/Qwen3-32B,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781088778,1781088778,scenario_complete,2026-06-10T10:52:58+00:00,0.0,37,12.0,10.0,0.0,2.638733719771948,2.740193921396034,0.8566384332013947,,6.0,100.21621621621621,247.2,,,4.113578867008259,0.0,5.810773470136854,,,5.0,0.0,0.0,6.0,0.0,0,0,0,15,15,15,,6,15,15,,,15,0,15,,,5,0,15,6,0
veyru/1781090715,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2980.334673,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,450,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781090715,1781090715,scenario_complete,2026-06-10T11:25:15+00:00,0.0,156,1.0,10.0,0.0,2.3462361948502157,2.3416875006835793,0.8041657790814469,,0.0,125.38709677419355,518.2666666666667,,,4.114712348125977,0.0,5.054245886272854,12.0,,0.0,0.0,0.0,1.0,4.0,0,0,0,15,15,15,,0,15,15,,,15,0,15,12,,0,0,15,1,4
veyru/1781090859,veyru,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,self-hosted,self-hosted,Field Observer,Stabilization Engineer,15,,2200.030336,True,False,4096,False,0.0,[],False,,,claude-haiku-4-5-20251001,anthropic,300.0,,meta-llama/Llama-3.3-70B-Instruct,self-hosted,meta-llama/Llama-3.3-70B-Instruct,self-hosted,True,False,120.0,True,False,False,False,15,150,[],42,,False,True,baseline_oss,open,meta-llama/Llama-3.3-70B-Instruct,self-hosted,/Users/nsander/workspace/schmidt-poc/runs/veyru/1781090859,1781090859,scenario_complete,2026-06-10T11:27:39+00:00,0.0,103,2.0,5.0,0.0,2.2752317126535333,2.280797410360416,0.7292264814533169,,3.0,160.33333333333334,192.4,,,4.175707253520601,0.0,4.462938642501831,14.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,15,15,15,,3,15,15,,,15,0,15,14,,0,0,15,0,0
